client_id,primaryphonenumber,attribution_type,description,custom_group_id,referral,sub_referral,parameter_in_referrer_url,key,value,call_recording,whisper,status,primary_group,secondary_group,billed,test
111179,3619927631,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
111284,2628774741,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
111351,9044583020,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
111490,9167453460,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
111600,9163711500,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
111624,6026142064,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
111669,9522781999,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
112121,6029542177,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
112268,9073732746,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
113244,8502671992,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
113483,3096981977,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
113543,6108668428,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
114050,954 317 0236,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
114050,9549416882,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
114505,3096918291,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
114526,5167329590,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
114635,2134812917,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
114948,7788865677,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
115065,5865988744,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
115087,7324695186,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
115302,8054484469,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
115414,8175816453,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
115745,7158326336,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
115778,8163223120,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
115824,2568818806,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
115830,8888241947,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
115963,8642252006,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116163,4254271791,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116226,9362307956,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116237,2096345871,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116245,7654635001,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116319,5123718858,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116342,4057217442,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116343,4053405150,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116344,4057330002,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116345,4057947200,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116346,4058436200,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116460,6363328220,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116532,8606815210,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116555,4192282233,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
116613,3095304282,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
